"Site_Name","Loc_Name","Start_Date","Year","Plot_Name","QAQC","Com_Sp","variable","value"
"Acadia NP","Little Hunter",2016-06-27,"2016","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.05
"Acadia NP","Little Hunter",2016-06-27,"2016","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",9.7
"Acadia NP","Little Moose",2016-06-25,"2016","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",8.75
"Acadia NP","Little Moose",2016-06-25,"2016","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.2
"Acadia NP","Little Moose",2016-06-25,"2016","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",16.3
"Acadia NP","Otter Point",2013-06-23,"2013","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Otter Point",2013-06-23,"2013","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Otter Point",2013-06-23,"2013","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.25
"Acadia NP","Otter Point",2014-06-19,"2014","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Otter Point",2014-06-19,"2014","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.45
"Acadia NP","Otter Point",2014-06-19,"2014","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",1.65
"Acadia NP","Otter Point",2015-06-10,"2015","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Otter Point",2015-06-10,"2015","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Otter Point",2015-06-10,"2015","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.35
"Acadia NP","Otter Point",2016-06-26,"2016","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Otter Point",2016-06-26,"2016","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Otter Point",2016-06-26,"2016","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.65
"Acadia NP","Otter Point",2016-06-30,"2016","X1",1,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Otter Point",2016-06-30,"2016","X2",1,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Otter Point",2016-06-30,"2016","X3",1,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.1
"Acadia NP","Schoodic Point",2013-06-19,"2013","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",1.5
"Acadia NP","Schoodic Point",2013-06-19,"2013","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.9
"Acadia NP","Schoodic Point",2013-06-19,"2013","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.05
"Acadia NP","Schoodic Point",2014-06-17,"2014","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.2
"Acadia NP","Schoodic Point",2014-06-17,"2014","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.5
"Acadia NP","Schoodic Point",2014-06-17,"2014","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Schoodic Point",2014-06-22,"2014","X1",1,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",1.2
"Acadia NP","Schoodic Point",2014-06-22,"2014","X2",1,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.05
"Acadia NP","Schoodic Point",2014-06-22,"2014","X3",1,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Schoodic Point",2015-06-08,"2015","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.05
"Acadia NP","Schoodic Point",2015-06-08,"2015","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.05
"Acadia NP","Schoodic Point",2015-06-08,"2015","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Schoodic Point",2016-06-24,"2016","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",1.3
"Acadia NP","Schoodic Point",2016-06-24,"2016","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.3
"Acadia NP","Schoodic Point",2016-06-24,"2016","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.05
"Acadia NP","Ship Harbor",2013-06-22,"2013","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Ship Harbor",2013-06-22,"2013","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Ship Harbor",2013-06-22,"2013","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.65
"Acadia NP","Ship Harbor",2014-06-20,"2014","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Ship Harbor",2014-06-20,"2014","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.3
"Acadia NP","Ship Harbor",2014-06-20,"2014","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",1.85
"Acadia NP","Ship Harbor",2015-06-11,"2015","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Ship Harbor",2015-06-11,"2015","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Ship Harbor",2015-06-11,"2015","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.55
"Acadia NP","Ship Harbor",2016-06-29,"2016","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.05
"Acadia NP","Ship Harbor",2016-06-29,"2016","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.1
"Acadia NP","Ship Harbor",2016-06-29,"2016","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.5
"Boston Harbor NRA","Calf Island",2013-06-26,"2013","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Calf Island",2013-06-26,"2013","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Calf Island",2013-06-26,"2013","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Calf Island",2014-07-16,"2014","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Calf Island",2014-07-16,"2014","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Calf Island",2014-07-16,"2014","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Calf Island",2015-07-07,"2015","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Calf Island",2015-07-07,"2015","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Calf Island",2015-07-07,"2015","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Calf Island",2016-07-28,"2016","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.2
"Boston Harbor NRA","Calf Island",2016-07-28,"2016","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Calf Island",2016-07-28,"2016","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.05
"Boston Harbor NRA","Green Island",2013-06-27,"2013","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Green Island",2013-06-27,"2013","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Green Island",2013-06-27,"2013","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Green Island",2014-07-17,"2014","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Green Island",2014-07-17,"2014","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Green Island",2015-07-09,"2015","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Green Island",2015-07-09,"2015","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Green Island",2015-07-09,"2015","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Green Island",2015-07-10,"2015","X1",1,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Green Island",2015-07-10,"2015","X2",1,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Green Island",2015-07-10,"2015","X3",1,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Green Island",2016-07-26,"2016","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.25
"Boston Harbor NRA","Green Island",2016-07-26,"2016","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Green Island",2016-07-26,"2016","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Outer Brewster",2013-08-13,"2013","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Outer Brewster",2013-08-13,"2013","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.1
"Boston Harbor NRA","Outer Brewster",2013-08-13,"2013","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Outer Brewster",2014-07-18,"2014","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Outer Brewster",2014-07-18,"2014","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.2
"Boston Harbor NRA","Outer Brewster",2014-07-18,"2014","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Outer Brewster",2015-07-08,"2015","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Outer Brewster",2015-07-08,"2015","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Outer Brewster",2015-07-08,"2015","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Outer Brewster",2016-07-27,"2016","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Boston Harbor NRA","Outer Brewster",2016-07-27,"2016","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0.15
"Boston Harbor NRA","Outer Brewster",2016-07-27,"2016","X3",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Maine Coast Islands NWR","Petit Manan Island",2014-06-27,"2014","X1",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Maine Coast Islands NWR","Petit Manan Island",2014-06-27,"2014","X2",0,"Green sea urchin (Strongylocentrotus droebachiensis)","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Bass Harbor",2013-06-24,"2013","X1",1,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Bass Harbor",2013-06-24,"2013","X2",1,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Bass Harbor",2013-06-24,"2013","X3",1,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Bass Harbor",2014-06-21,"2014","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Bass Harbor",2014-06-21,"2014","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Bass Harbor",2014-06-21,"2014","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Bass Harbor",2015-06-12,"2015","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Bass Harbor",2015-06-12,"2015","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Bass Harbor",2015-06-12,"2015","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Bass Harbor",2016-06-28,"2016","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Bass Harbor",2016-06-28,"2016","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Bass Harbor",2016-06-28,"2016","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Little Hunter",2016-06-27,"2016","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Little Hunter",2016-06-27,"2016","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Little Hunter",2016-06-27,"2016","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Little Moose",2016-06-25,"2016","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Little Moose",2016-06-25,"2016","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Little Moose",2016-06-25,"2016","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Otter Point",2013-06-23,"2013","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Otter Point",2013-06-23,"2013","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Otter Point",2013-06-23,"2013","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Otter Point",2014-06-19,"2014","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Otter Point",2014-06-19,"2014","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Otter Point",2014-06-19,"2014","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Otter Point",2015-06-10,"2015","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Otter Point",2015-06-10,"2015","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Otter Point",2015-06-10,"2015","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0.05
"Acadia NP","Otter Point",2016-06-26,"2016","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Otter Point",2016-06-26,"2016","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Otter Point",2016-06-26,"2016","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Otter Point",2016-06-30,"2016","X1",1,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Otter Point",2016-06-30,"2016","X2",1,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Otter Point",2016-06-30,"2016","X3",1,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Schoodic Point",2013-06-19,"2013","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Schoodic Point",2014-06-17,"2014","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Schoodic Point",2014-06-17,"2014","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Schoodic Point",2014-06-17,"2014","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Schoodic Point",2014-06-22,"2014","X1",1,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Schoodic Point",2014-06-22,"2014","X2",1,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Schoodic Point",2014-06-22,"2014","X3",1,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Schoodic Point",2015-06-08,"2015","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Schoodic Point",2015-06-08,"2015","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Schoodic Point",2015-06-08,"2015","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Schoodic Point",2016-06-24,"2016","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Schoodic Point",2016-06-24,"2016","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Schoodic Point",2016-06-24,"2016","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Ship Harbor",2013-06-22,"2013","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Ship Harbor",2013-06-22,"2013","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Ship Harbor",2013-06-22,"2013","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Ship Harbor",2014-06-20,"2014","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Ship Harbor",2014-06-20,"2014","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Ship Harbor",2014-06-20,"2014","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Ship Harbor",2015-06-11,"2015","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Ship Harbor",2015-06-11,"2015","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Ship Harbor",2015-06-11,"2015","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Ship Harbor",2016-06-29,"2016","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Ship Harbor",2016-06-29,"2016","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Ship Harbor",2016-06-29,"2016","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0.05
"Boston Harbor NRA","Calf Island",2013-06-26,"2013","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Calf Island",2013-06-26,"2013","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Calf Island",2013-06-26,"2013","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Calf Island",2014-07-16,"2014","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Calf Island",2014-07-16,"2014","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Calf Island",2014-07-16,"2014","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Calf Island",2015-07-07,"2015","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Calf Island",2015-07-07,"2015","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Calf Island",2015-07-07,"2015","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Calf Island",2016-07-28,"2016","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Calf Island",2016-07-28,"2016","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Calf Island",2016-07-28,"2016","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Green Island",2013-06-27,"2013","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Green Island",2013-06-27,"2013","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Green Island",2013-06-27,"2013","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Green Island",2014-07-17,"2014","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Green Island",2014-07-17,"2014","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Green Island",2015-07-09,"2015","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Green Island",2015-07-09,"2015","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Green Island",2015-07-09,"2015","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Green Island",2015-07-10,"2015","X1",1,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Green Island",2015-07-10,"2015","X2",1,"Blood sea star (Henricia sanguinolenta)","Abundance",0.05
"Boston Harbor NRA","Green Island",2015-07-10,"2015","X3",1,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Green Island",2016-07-26,"2016","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Green Island",2016-07-26,"2016","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Green Island",2016-07-26,"2016","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Outer Brewster",2013-08-13,"2013","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Outer Brewster",2013-08-13,"2013","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Outer Brewster",2013-08-13,"2013","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Outer Brewster",2014-07-18,"2014","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Outer Brewster",2014-07-18,"2014","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Outer Brewster",2014-07-18,"2014","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Outer Brewster",2015-07-08,"2015","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Outer Brewster",2015-07-08,"2015","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Outer Brewster",2015-07-08,"2015","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Outer Brewster",2016-07-27,"2016","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Outer Brewster",2016-07-27,"2016","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Boston Harbor NRA","Outer Brewster",2016-07-27,"2016","X3",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Maine Coast Islands NWR","Petit Manan Island",2014-06-27,"2014","X1",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Maine Coast Islands NWR","Petit Manan Island",2014-06-27,"2014","X2",0,"Blood sea star (Henricia sanguinolenta)","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","X1",0,"Common sea star (Asterias rubens)","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","X2",0,"Common sea star (Asterias rubens)","Abundance",0
"Acadia NP","Bass Harbor",2013-06-21,"2013","X3",0,"Common sea star (Asterias rubens)","Abundance",0
"Acadia NP","Bass Harbor",2013-06-24,"2013","X1",1,"Common sea star (Asterias rubens)","Abundance",0
"Acadia NP","Bass Harbor",2013-06-24,"2013","X2",1,"Common sea star (Asterias rubens)","Abundance",0
"Acadia NP","Bass Harbor",2013-06-24,"2013","X3",1,"Common sea star (Asterias rubens)","Abundance",0
"Acadia NP","Bass Harbor",2014-06-21,"2014","X1",0,"Common sea star (Asterias rubens)","Abundance",0
"Acadia NP","Bass Harbor",2014-06-21,"2014","X2",0,"Common sea star (Asterias rubens)","Abundance",0.05
"Acadia NP","Bass Harbor",2014-06-21,"2014","X3",0,"Common sea star (Asterias rubens)","Abundance",0
"Acadia NP","Bass Harbor",2015-06-12,"2015","X1",0,"Common sea star (Asterias rubens)","Abundance",0.15
"Acadia NP","Bass Harbor",2015-06-12,"2015","X2",0,"Common sea star (Asterias rubens)","Abundance",0
"Acadia NP","Bass Harbor",2015-06-12,"2015","X3",0,"Common sea star (Asterias rubens)","Abundance",0
"Acadia NP","Bass Harbor",2016-06-28,"2016","X1",0,"Common sea star (Asterias rubens)","Abundance",0
"Acadia NP","Bass Harbor",2016-06-28,"2016","X2",0,"Common sea star (Asterias rubens)","Abundance",0
