"Site_Name","Site_Code","Loc_Name","Loc_Code","QAQC","Plot_Name","Start_Date","Year","Spp_Code","distance_m","Common_Name","Spp_Name","Category","TSN","Comments"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","BARSPP",11.7,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",12,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",12.3,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","BARSPP",12.6,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",12.9,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","NONCOR",13.2,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",13.5,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",13.8,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",14.1,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","UNIDEN",14.4,"Unidentified","Unidentified","",-891,"species, species group, or substrate that cannot be identified."
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","BARSPP",14.7,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",15,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",15.3,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",15.6,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",15.9,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",16.2,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",16.5,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",16.8,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",17.1,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",17.4,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",17.7,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","BARSPP",18,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",18.3,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",18.6,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",18.9,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",19.2,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",19.5,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",19.8,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",20.1,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",20.4,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",20.7,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",21,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",21.3,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",21.6,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",21.9,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ULVSPP",22.2,"Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",22.5,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",22.8,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",23.1,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",23.4,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",23.7,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ULVSPP",24,"Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",24.3,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",24.6,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",24.9,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",25.2,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",25.5,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",25.8,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","BARSPP",26.1,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ULVSPP",26.4,"Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",26.7,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ULVSPP",27,"Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCEPI",27.3,"Fucus epibiont","Fucus epibiont","Species Group",-11334,"organism that lives on the surface of Fucus Spp."
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ULVSPP",27.6,"Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",27.9,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",28.2,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",28.5,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",28.8,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",29.1,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",29.4,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","BARSPP",29.7,"Barnacles","pimarily Semibalanus balanoides","Species Group",-882,"barnacle species group (dominated by Semibalanus balanoides)"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",30,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",30.3,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",30.6,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",30.9,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",31.2,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ROCK",31.5,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",31.8,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",32.1,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",32.4,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",32.7,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ULVSPP",33,"Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ULVSPP",33.3,"Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",33.6,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",33.9,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","CHOMAS",34.2,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","CHOMAS",34.5,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ULVSPP",34.8,"Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCEPI",35.1,"Fucus epibiont","Fucus epibiont","Species Group",-11334,"organism that lives on the surface of Fucus Spp."
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","CHOMAS",35.4,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","CHOMAS",35.7,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ULVSPP",36,"Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ULVSPP",36.3,"Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","CHOMAS",36.6,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ULVSPP",36.9,"Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ULVSPP",37.2,"Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","CHOMAS",37.5,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ALGRED",37.8,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ULVSPP",38.1,"Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","FUCSPP",38.4,"Rockweed","Fucus spp.","Genus",11334,"brown algae genus"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","CHOMAS",38.7,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ULVSPP",39,"Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ULVSPP",39.3,"Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","CHOMAS",39.6,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","CHOMAS",39.9,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","CHOMAS",40.2,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ARTCOR",40.5,"Articulated Corallines","Articulated Corallines","Species Group",-886,"branched, calcified red algae"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","CHOMAS",40.8,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ARTCOR",41.1,"Articulated Corallines","Articulated Corallines","Species Group",-886,"branched, calcified red algae"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","UNIDEN",41.4,"Unidentified","Unidentified","",-891,"species, species group, or substrate that cannot be identified."
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","CHOMAS",41.7,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ARTCOR",42,"Articulated Corallines","Articulated Corallines","Species Group",-886,"branched, calcified red algae"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","UNIDEN",42.3,"Unidentified","Unidentified","",-891,"species, species group, or substrate that cannot be identified."
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","CHOMAS",42.6,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","CHOMAS",42.9,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","CHOMAS",43.2,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","CHOMAS",43.5,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","CHOMAS",43.8,"Irish Moss","Chondrus / Mastocarpus","Species Group",-887,"red algae genera"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","UNIDEN",44.1,"Unidentified","Unidentified","",-891,"species, species group, or substrate that cannot be identified."
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ULVSPP",44.4,"Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ALGRED",44.7,"Other Algae - Red","Other Algae - Red","Species Group",-898,"red algae species other than those listed"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T1",2013-06-21,"2013","ULVSPP",45,"Sea Lettuce","Ulva spp.","Genus",6559,"green algae genus; used to be named Enteromorpha"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T2",2013-06-21,"2013","ROCK",0,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T2",2013-06-21,"2013","ROCK",0.3,"Rock","Rock","Substrate",-893,"rock"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T2",2013-06-21,"2013","NONCOR",0.6,"Crustose non-coraline","Crustose non-coraline","Species Group",-884,"crust forming algae other than Coraline"
"Acadia NP","ACAD","Bass Harbor","BASHAR",0,"T2",2013-06-21,"2013","ROCK",0.9,"Rock","Rock","Substrate",-893,"rock"
