Site_Name,Site_Code,Loc_Name,Loc_Code,Year,Common,Species,Spp_Name,Com_Sp,Zone,variable,QAQC,mean,se,N
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Red Algae,Proportion.Damaged,FALSE,0.22,0.09,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Red Algae,Abundance,TRUE,2.68,2.07,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Red Algae,logAbundance,TRUE,0.67,0.47,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Red Algae,Proportion.Damaged,TRUE,0.15,0.09,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Ascophyllum,Abundance,FALSE,81.94,26.21,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Ascophyllum,logAbundance,FALSE,4.15,0.39,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Ascophyllum,Proportion.Damaged,FALSE,0.31,0.07,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Ascophyllum,Abundance,TRUE,143.2,90.02,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Ascophyllum,logAbundance,TRUE,4.2,0.66,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Ascophyllum,Proportion.Damaged,TRUE,0.24,0.05,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Barnacle,Abundance,FALSE,0.54,0.54,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Barnacle,logAbundance,FALSE,0.2,0.2,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Barnacle,Proportion.Damaged,FALSE,0.07,0.07,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Barnacle,Abundance,TRUE,0.54,0.54,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Barnacle,logAbundance,TRUE,0.2,0.2,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Barnacle,Proportion.Damaged,TRUE,0.07,0.07,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Fucus,Abundance,FALSE,545.06,192.6,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Fucus,logAbundance,FALSE,5.98,0.43,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Fucus,Proportion.Damaged,FALSE,0.17,0.08,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Fucus,Abundance,TRUE,307.2,88.9,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Fucus,logAbundance,TRUE,5.53,0.33,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Fucus,Proportion.Damaged,TRUE,0.24,0.08,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Red Algae,Abundance,FALSE,1.08,0.66,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Red Algae,logAbundance,FALSE,0.4,0.24,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Red Algae,Proportion.Damaged,FALSE,0.15,0.09,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Red Algae,Abundance,TRUE,0.54,0.54,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Red Algae,logAbundance,TRUE,0.2,0.2,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Red Algae,Proportion.Damaged,TRUE,0.07,0.07,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Ascophyllum,Abundance,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Ascophyllum,logAbundance,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Ascophyllum,Proportion.Damaged,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Ascophyllum,Abundance,TRUE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Ascophyllum,logAbundance,TRUE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Ascophyllum,Proportion.Damaged,TRUE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Barnacle,Abundance,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Barnacle,logAbundance,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Barnacle,Proportion.Damaged,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Barnacle,Abundance,TRUE,1.08,0.66,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Barnacle,logAbundance,TRUE,0.4,0.24,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Barnacle,Proportion.Damaged,TRUE,0.15,0.09,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Fucus,Abundance,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Fucus,logAbundance,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Fucus,Proportion.Damaged,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Fucus,Abundance,TRUE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Fucus,logAbundance,TRUE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Fucus,Proportion.Damaged,TRUE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Red Algae,Abundance,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Red Algae,logAbundance,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Red Algae,Proportion.Damaged,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Red Algae,Abundance,TRUE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Red Algae,logAbundance,TRUE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Rough periwinkle,LITSAX,Littorina saxatilis,Rough periwinkle (Littorina saxatilis),Red Algae,Proportion.Damaged,TRUE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Ascophyllum,Abundance,FALSE,1.6,1.06,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Ascophyllum,logAbundance,FALSE,0.53,0.34,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Ascophyllum,Proportion.Damaged,FALSE,0.15,0.09,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Ascophyllum,Abundance,TRUE,9.28,4.36,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Ascophyllum,logAbundance,TRUE,1.73,0.56,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Ascophyllum,Proportion.Damaged,TRUE,0.23,0.09,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Barnacle,Abundance,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Barnacle,logAbundance,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Barnacle,Proportion.Damaged,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Barnacle,Abundance,TRUE,0.54,0.54,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Barnacle,logAbundance,TRUE,0.2,0.2,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Barnacle,Proportion.Damaged,TRUE,0.07,0.07,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Fucus,Abundance,FALSE,18.2,4.87,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Fucus,logAbundance,FALSE,2.49,0.63,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Fucus,Proportion.Damaged,FALSE,0.09,0.07,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Fucus,Abundance,TRUE,23.52,8.35,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Fucus,logAbundance,TRUE,2.62,0.69,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Fucus,Proportion.Damaged,TRUE,0.17,0.09,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Red Algae,Abundance,FALSE,1.06,1.06,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Red Algae,logAbundance,FALSE,0.33,0.33,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Red Algae,Proportion.Damaged,FALSE,0.08,0.08,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Red Algae,Abundance,TRUE,1.62,0.66,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Red Algae,logAbundance,TRUE,0.6,0.24,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Dogwhelk,NUCLAP,Nucella lapillus,Dogwhelk (Nucella lapillus),Red Algae,Proportion.Damaged,TRUE,0.22,0.09,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Ascophyllum,Abundance,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Ascophyllum,logAbundance,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Ascophyllum,Proportion.Damaged,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Ascophyllum,Abundance,TRUE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Ascophyllum,logAbundance,TRUE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Ascophyllum,Proportion.Damaged,TRUE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Barnacle,Abundance,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Barnacle,logAbundance,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Barnacle,Proportion.Damaged,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Barnacle,Abundance,TRUE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Barnacle,logAbundance,TRUE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Barnacle,Proportion.Damaged,TRUE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Fucus,Abundance,FALSE,107.46,57.85,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Fucus,logAbundance,FALSE,4,0.63,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Fucus,Proportion.Damaged,FALSE,0.18,0.08,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Fucus,Abundance,TRUE,33.88,17.54,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Fucus,logAbundance,TRUE,2.74,0.77,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Fucus,Proportion.Damaged,TRUE,0.23,0.09,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Red Algae,Abundance,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Red Algae,logAbundance,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Red Algae,Proportion.Damaged,FALSE,0,0,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Red Algae,Abundance,TRUE,1.06,1.06,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Red Algae,logAbundance,TRUE,0.33,0.33,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2013,Limpet,TECTES,Tectura testudinalis,Limpet (Tectura testudinalis),Red Algae,Proportion.Damaged,TRUE,0.08,0.08,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2014,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Ascophyllum,Abundance,FALSE,211.8,167.32,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2014,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Ascophyllum,logAbundance,FALSE,3.86,0.91,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2014,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Ascophyllum,Proportion.Damaged,FALSE,0.31,0.07,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2014,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Barnacle,Abundance,FALSE,1.6,1.06,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2014,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Barnacle,logAbundance,FALSE,0.53,0.34,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2014,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Barnacle,Proportion.Damaged,FALSE,0.15,0.09,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2014,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Fucus,Abundance,FALSE,220.14,106.01,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2014,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Fucus,logAbundance,FALSE,4.91,0.52,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2014,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Fucus,Proportion.Damaged,FALSE,0.24,0.08,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2014,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Red Algae,Abundance,FALSE,26.66,10.28,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2014,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Red Algae,logAbundance,FALSE,2.85,0.53,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2014,Common periwinkle,LITLIT,Littorina littorea,Common periwinkle (Littorina littorea),Red Algae,Proportion.Damaged,FALSE,0.37,0.01,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2014,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Ascophyllum,Abundance,FALSE,147.34,101.41,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2014,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Ascophyllum,logAbundance,FALSE,3.92,0.85,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2014,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Ascophyllum,Proportion.Damaged,FALSE,0.31,0.07,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2014,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Barnacle,Abundance,FALSE,4.26,2.47,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2014,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Barnacle,logAbundance,FALSE,1.05,0.5,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2014,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Barnacle,Proportion.Damaged,FALSE,0.13,0.08,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2014,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Fucus,Abundance,FALSE,387.46,153.3,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2014,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Fucus,logAbundance,FALSE,5.63,0.4,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2014,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Fucus,Proportion.Damaged,FALSE,0.24,0.08,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2014,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Red Algae,Abundance,FALSE,3.2,1.55,5
Acadia NP,ACAD,Bass Harbor,BASHAR,2014,Smooth periwinkle,LITOBT,Littorina obtusata,Smooth periwinkle (Littorina obtusata),Red Algae,logAbundance,FALSE,0.95,0.42,5
